loss,accuracy,val_loss,val_accuracy,lr
0.404145032,0.858424485,0.530812502,0.816415727,0.001
0.351228148,0.875598669,0.499031723,0.829407454,0.001
0.344792932,0.877821326,0.807168067,0.747881949,0.001
0.341310233,0.878873646,0.674423397,0.787329316,0.001
0.334224373,0.882249773,0.462064415,0.836463213,0.001
0.335527688,0.881231189,0.640019,0.784334362,0.001
0.32909587,0.882880509,0.576643825,0.805879354,0.001
0.328160763,0.883015394,0.482417971,0.830985904,0.001
0.325518072,0.88434428,0.567481458,0.809036195,0.001
0.321323365,0.885764182,0.544720411,0.81517458,0.001
0.322907507,0.884951353,0.537427247,0.817751348,0.001
0.320208162,0.886027277,0.46941331,0.837798834,0.001
0.313708872,0.888435423,0.548342943,0.81308347,0.001
0.313755989,0.888115048,0.53333813,0.819410741,0.001
0.3110874,0.888728857,0.506184459,0.826628327,0.001
0.308340281,0.890324175,0.4798868,0.833576143,0.001
0.309239835,0.889332592,0.529021561,0.823673844,0.001
0.30925265,0.8894068,0.640128851,0.788354635,0.001
0.301848501,0.892486155,0.502097666,0.829960585,0.001
0.304466307,0.8914271,0.573223293,0.805987239,0.001
0.299867064,0.893012285,0.527840912,0.82303977,0.001
0.298948377,0.893592417,0.677167714,0.783538401,0.001
0.296454817,0.894179285,0.580050647,0.807012558,0.001
0.297328591,0.894101679,0.55522269,0.811761379,0.001
0.289951444,0.897197902,0.558511615,0.814796805,0.001
0.291906118,0.896307468,0.584974408,0.806837201,0.001
0.294079214,0.894884169,0.608157575,0.801440835,0.001
0.28796497,0.897663355,0.617660344,0.798324406,0.001
0.285727859,0.898132145,0.888051808,0.739477098,0.001
0.285830498,0.897835374,0.48336187,0.832847655,0.001
0.282375783,0.900000691,0.523433626,0.823377073,0.001
0.280960441,0.900061369,0.55759424,0.816253841,0.001
0.280592948,0.899848878,0.801626265,0.756947815,0.001
0.281718105,0.899481297,0.537088513,0.820004344,0.001
0.281324297,0.90001756,0.450780958,0.844045103,0.001
0.276526839,0.901437461,0.552139223,0.815322995,0.001
0.278430343,0.901029348,0.513359547,0.826655328,0.001
0.274527073,0.902361631,0.552241445,0.816510201,0.001
0.272395551,0.902972102,0.528592587,0.823916674,0.001
0.272347867,0.903619647,0.467112392,0.840240657,0.001
0.270602345,0.903754592,0.512891114,0.827329874,0.001
0.269326597,0.903707325,0.564396441,0.813380301,0.001
0.267329574,0.905282438,0.664239824,0.797191203,0.001
0.265169889,0.905474663,0.509065092,0.830945432,0.001
0.265570879,0.905366778,0.536901534,0.821785092,0.001
0.261474729,0.907221794,0.568741798,0.811316192,0.001
0.262338221,0.906439304,0.636807203,0.799606085,0.001
0.262662709,0.906419039,0.746398151,0.771936238,0.001
0.260058254,0.906995833,0.600505233,0.801467836,0.001
0.260219634,0.907296002,0.534030259,0.826533914,0.001
0.227015868,0.919512153,0.515041649,0.83508718,0.001
0.222253755,0.921343565,0.405649662,0.861947536,0.001
0.222557724,0.921599925,0.630562067,0.806149185,0.001
0.220990479,0.921778679,0.583050787,0.819019496,0.001
0.222452253,0.921309829,0.513941824,0.833373785,0.001
0.218028456,0.922308207,0.557164848,0.822877884,0.001
0.220533758,0.921063662,0.512411773,0.837650418,0.001
0.216667682,0.923286319,0.522681773,0.835127652,0.001
0.223530531,0.92051053,0.503726065,0.83952564,0.001
0.218329445,0.922797263,0.46058172,0.847552776,0.001
0.215844348,0.923350394,0.523365676,0.832577825,0.001
0.217100441,0.922834337,0.552307844,0.824968994,0.001
0.215479225,0.923532486,0.486335874,0.841954052,0.001
0.214829326,0.923863053,0.441917151,0.852463424,0.001
0.214622676,0.923920393,0.56618762,0.824834049,0.001
0.214551806,0.923991203,0.553763866,0.825684011,0.001
0.211450621,0.924979448,0.657821715,0.807107031,0.001
0.213241905,0.924389184,0.433149546,0.855283022,0.001
0.211929932,0.924601674,0.505018234,0.839309812,0.001
0.212906405,0.924355447,0.888888478,0.766634285,0.001
