loss,accuracy,val_loss,val_accuracy,lr
0.06401369720697403,0.9750868678092957,0.1511641889810562,0.9454559087753296,0.0010000000474974513
0.06709124892950058,0.9743994474411011,0.09821618348360062,0.9657427072525024,0.0010000000474974513
0.050198040902614594,0.9809761047363281,0.11231695115566254,0.9568997621536255,0.0010000000474974513
0.06515323370695114,0.9757370948791504,0.13505373895168304,0.9502860903739929,0.0010000000474974513
0.06497269868850708,0.9753097891807556,0.1437399685382843,0.9492457509040833,0.0010000000474974513
0.0407257154583931,0.9851189851760864,0.10682342201471329,0.9595749378204346,0.0010000000474974513
0.08369839191436768,0.9683616161346436,0.07599527388811111,0.97220778465271,0.0010000000474974513
0.04009950906038284,0.9852304458618164,0.1480170041322708,0.9490970969200134,0.0010000000474974513
0.05871870741248131,0.9776134490966797,0.08517617732286453,0.9714646935462952,0.0010000000474974513
0.051725033670663834,0.981050431728363,0.18096044659614563,0.9389908313751221,0.0010000000474974513
